"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,0.117599,NaN,"ms/op",100
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,0.816897,NaN,"ms/op",1000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,18.259143,NaN,"ms/op",10000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,110.888058,NaN,"ms/op",50000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,596.020760,NaN,"ms/op",100000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,918.295244,NaN,"ms/op",200000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,5366.060652,NaN,"ms/op",300000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,5775.997035,NaN,"ms/op",400000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,6788.109530,NaN,"ms/op",500000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,5266.150973,NaN,"ms/op",600000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,11020.394919,NaN,"ms/op",700000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,10665.546159,NaN,"ms/op",800000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,15999.148667,NaN,"ms/op",900000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.remove","ss",1,1,14736.289018,NaN,"ms/op",1000000
